#,latitude,longitude,type,dist
301,-36.873470,174.764360,PATH,4747.7
302,-36.873490,174.764350,PATH,4750.1
303,-36.873510,174.764320,PATH,4753.5
304,-36.873520,174.764290,PATH,4756.4
305,-36.873520,174.764250,PATH,4760.0
306,-36.873500,174.764210,PATH,4764.2
307,-36.873520,174.764190,PATH,4767.0
308,-36.873620,174.764050,PATH,4783.8
309,-36.873730,174.763860,PATH,4804.6
310,-36.873750,174.763810,PATH,4809.6
311,-36.873800,174.763690,PATH,4821.7
312,-36.873840,174.763560,PATH,4834.1
313,-36.873870,174.763450,PATH,4844.4
314,-36.873890,174.763300,PATH,4858.0
315,-36.873920,174.763220,PATH,4865.8
316,-36.873950,174.763120,PATH,4875.3
317,-36.874010,174.763020,PATH,4886.5
318,-36.874060,174.762940,PATH,4895.5
319,-36.874380,174.762550,PATH,4945.3
320,-36.874410,174.762520,PATH,4949.5
321,-36.874440,174.762500,PATH,4953.3
322,-36.874450,174.762490,PATH,4954.8
323,-36.874490,174.762470,PATH,4959.6
324,-36.874530,174.762460,PATH,4964.1
325,-36.874500,174.762110,PATH,4995.4
326,-36.874580,174.762060,PATH,5005.4
327,-36.874750,174.761930,PATH,5027.6
328,-36.874890,174.761830,PATH,5045.5
329,-36.874980,174.761780,PATH,5056.5
330,-36.875080,174.761730,PATH,5068.5
331,-36.875140,174.761700,PATH,5075.7
332,-36.875250,174.761660,PATH,5088.4
333,-36.875110,174.761060,PATH,5144.1
334,-36.875110,174.761030,PATH,5146.8
335,-36.875120,174.760990,PATH,5150.5
336,-36.875130,174.760960,PATH,5153.4
337,-36.875140,174.760920,PATH,5157.1
338,-36.875450,174.760400,PATH,5214.9
339,-36.875530,174.760240,PATH,5231.7
340,-36.875540,174.760200,PATH,5235.4
341,-36.875540,174.760170,PATH,5238.1
342,-36.875550,174.760140,PATH,5241.0
343,-36.875540,174.760120,PATH,5243.1
344,-36.875540,174.760090,PATH,5245.7
345,-36.875450,174.759600,PATH,5290.5
346,-36.875420,174.759430,PATH,5306.0
347,-36.875390,174.759280,PATH,5319.8
348,-36.875230,174.758110,PATH,5425.5
349,-36.875220,174.758020,PATH,5433.6
350,-36.875200,174.758020,PATH,5435.8
351,-36.875180,174.758010,PATH,5438.2
352,-36.875160,174.758000,PATH,5440.6
353,-36.875160,174.757980,PATH,5442.4
354,-36.875150,174.757970,PATH,5443.8
355,-36.875150,174.757960,PATH,5444.7
356,-36.875150,174.757940,PATH,5446.5
357,-36.875160,174.757920,PATH,5448.6
358,-36.875170,174.757900,PATH,5450.7
359,-36.875180,174.757890,PATH,5452.1
360,-36.875190,174.757880,PATH,5453.5
361,-36.875010,174.757070,PATH,5528.4
362,-36.875190,174.757880,ROUTED,5603.2
363,-36.875200,174.757880,PATH,5604.4
364,-36.875220,174.757880,PATH,5606.6
365,-36.875230,174.757890,PATH,5608.0
366,-36.875250,174.757900,PATH,5610.4
367,-36.875260,174.757920,PATH,5612.5
368,-36.875260,174.757930,PATH,5613.4
369,-36.877340,174.757290,PATH,5851.9
370,-36.877240,174.756830,PATH,5894.3
371,-36.877150,174.756390,ROUTED,5934.7
372,-36.876890,174.755220,PATH,6042.9
373,-36.876830,174.754990,PATH,6064.4
374,-36.876690,174.754250,PATH,6132.1
375,-36.876520,174.753440,PATH,6206.7
376,-36.876420,174.753050,PATH,6243.2
377,-36.876010,174.751030,PATH,6428.7
378,-36.877290,174.750630,PATH,6575.6
379,-36.878100,174.750350,PATH,6669.2
380,-36.878750,174.750150,PATH,6743.7
381,-36.879280,174.749970,PATH,6804.8
382,-36.879430,174.749920,PATH,6822.1
383,-36.880340,174.749640,PATH,6926.4
384,-36.880600,174.749540,PATH,6956.7
385,-36.880900,174.749430,PATH,6991.5
386,-36.881150,174.749330,PATH,7020.7
387,-36.881390,174.749270,PATH,7048.0
388,-36.882010,174.749080,PATH,7119.0
389,-36.882580,174.748890,PATH,7184.7
390,-36.882860,174.748790,PATH,7217.1
391,-36.883490,174.748580,PATH,7289.7
392,-36.884240,174.748340,PATH,7375.9
393,-36.885150,174.748030,PATH,7480.9
394,-36.885480,174.749520,PATH,7618.5
