path	image_width	image_height	image_x0	image_y0	image_xn	image_yn	data_offset	image_E0	image_N0
01-north-cape-subset33-05x01.tif	1000	1000	32000	4000	32999	4999	639	1492000.0	6174000.0
01-north-cape-subset34-05x02.tif	1000	1000	33000	4000	33999	4999	639	1507000.0	6174000.0
01-north-cape-subset35-05x03.tif	1000	1000	34000	4000	34999	4999	639	1522000.0	6174000.0
01-north-cape-subset36-05x04.tif	1000	1000	35000	4000	35999	4999	639	1537000.0	6174000.0
01-north-cape-subset37-05x05.tif	1000	1000	36000	4000	36999	4999	639	1552000.0	6174000.0
01-north-cape-subset38-05x06.tif	1000	1000	37000	4000	37999	4999	639	1567000.0	6174000.0
01-north-cape-subset39-05x07.tif	1000	1000	38000	4000	38999	4999	639	1582000.0	6174000.0
01-north-cape-subset40-05x08.tif	1000	1000	39000	4000	39999	4999	639	1597000.0	6174000.0
01-north-cape-subset41-06x01.tif	1000	1000	32000	5000	32999	5999	639	1492000.0	6159000.0
01-north-cape-subset42-06x02.tif	1000	1000	33000	5000	33999	5999	639	1507000.0	6159000.0
01-north-cape-subset43-06x03.tif	1000	1000	34000	5000	34999	5999	639	1522000.0	6159000.0
01-north-cape-subset44-06x04.tif	1000	1000	35000	5000	35999	5999	639	1537000.0	6159000.0
01-north-cape-subset45-06x05.tif	1000	1000	36000	5000	36999	5999	639	1552000.0	6159000.0
01-north-cape-subset46-06x06.tif	1000	1000	37000	5000	37999	5999	639	1567000.0	6159000.0
01-north-cape-subset47-06x07.tif	1000	1000	38000	5000	38999	5999	639	1582000.0	6159000.0
01-north-cape-subset48-06x08.tif	1000	1000	39000	5000	39999	5999	639	1597000.0	6159000.0
01-north-cape-subset49-07x01.tif	1000	1000	32000	6000	32999	6999	639	1492000.0	6144000.0
01-north-cape-subset50-07x02.tif	1000	1000	33000	6000	33999	6999	639	1507000.0	6144000.0
01-north-cape-subset51-07x03.tif	1000	1000	34000	6000	34999	6999	639	1522000.0	6144000.0
01-north-cape-subset52-07x04.tif	1000	1000	35000	6000	35999	6999	639	1537000.0	6144000.0
01-north-cape-subset53-07x05.tif	1000	1000	36000	6000	36999	6999	639	1552000.0	6144000.0
01-north-cape-subset54-07x06.tif	1000	1000	37000	6000	37999	6999	639	1567000.0	6144000.0
01-north-cape-subset55-07x07.tif	1000	1000	38000	6000	38999	6999	639	1582000.0	6144000.0
01-north-cape-subset56-07x08.tif	1000	1000	39000	6000	39999	6999	639	1597000.0	6144000.0
01-north-cape-subset57-08x01.tif	1000	1000	32000	7000	32999	7999	639	1492000.0	6129000.0
01-north-cape-subset58-08x02.tif	1000	1000	33000	7000	33999	7999	639	1507000.0	6129000.0
01-north-cape-subset59-08x03.tif	1000	1000	34000	7000	34999	7999	639	1522000.0	6129000.0
01-north-cape-subset60-08x04.tif	1000	1000	35000	7000	35999	7999	639	1537000.0	6129000.0
01-north-cape-subset61-08x05.tif	1000	1000	36000	7000	36999	7999	639	1552000.0	6129000.0
01-north-cape-subset62-08x06.tif	1000	1000	37000	7000	37999	7999	639	1567000.0	6129000.0
01-north-cape-subset63-08x07.tif	1000	1000	38000	7000	38999	7999	639	1582000.0	6129000.0
01-north-cape-subset64-08x08.tif	1000	1000	39000	7000	39999	7999	639	1597000.0	6129000.0
01-north-cape-subset65-09x01.tif	1000	1000	32000	8000	32999	8999	639	1492000.0	6114000.0
01-north-cape-subset66-09x02.tif	1000	1000	33000	8000	33999	8999	639	1507000.0	6114000.0
01-north-cape-subset67-09x03.tif	1000	1000	34000	8000	34999	8999	639	1522000.0	6114000.0
01-north-cape-subset68-09x04.tif	1000	1000	35000	8000	35999	8999	639	1537000.0	6114000.0
01-north-cape-subset69-09x05.tif	1000	1000	36000	8000	36999	8999	639	1552000.0	6114000.0
01-north-cape-subset70-09x06.tif	1000	1000	37000	8000	37999	8999	639	1567000.0	6114000.0
01-north-cape-subset71-09x07.tif	1000	1000	38000	8000	38999	8999	639	1582000.0	6114000.0
01-north-cape-subset72-09x08.tif	1000	1000	39000	8000	39999	8999	639	1597000.0	6114000.0
01-north-cape-subset73-10x01.tif	1000	1000	32000	9000	32999	9999	639	1492000.0	6099000.0
01-north-cape-subset74-10x02.tif	1000	1000	33000	9000	33999	9999	639	1507000.0	6099000.0
01-north-cape-subset75-10x03.tif	1000	1000	34000	9000	34999	9999	639	1522000.0	6099000.0
01-north-cape-subset76-10x04.tif	1000	1000	35000	9000	35999	9999	639	1537000.0	6099000.0
01-north-cape-subset77-10x05.tif	1000	1000	36000	9000	36999	9999	639	1552000.0	6099000.0
01-north-cape-subset78-10x06.tif	1000	1000	37000	9000	37999	9999	639	1567000.0	6099000.0
01-north-cape-subset79-10x07.tif	1000	1000	38000	9000	38999	9999	639	1582000.0	6099000.0
01-north-cape-subset80-10x08.tif	1000	1000	39000	9000	39999	9999	639	1597000.0	6099000.0
01-north-cape-subset81-11x01.tif	1000	1000	32000	10000	32999	10999	639	1492000.0	6084000.0
01-north-cape-subset82-11x02.tif	1000	1000	33000	10000	33999	10999	639	1507000.0	6084000.0
01-north-cape-subset83-11x03.tif	1000	1000	34000	10000	34999	10999	639	1522000.0	6084000.0
01-north-cape-subset84-11x04.tif	1000	1000	35000	10000	35999	10999	639	1537000.0	6084000.0
01-north-cape-subset85-11x05.tif	1000	1000	36000	10000	36999	10999	639	1552000.0	6084000.0
01-north-cape-subset86-11x06.tif	1000	1000	37000	10000	37999	10999	639	1567000.0	6084000.0
01-north-cape-subset87-11x07.tif	1000	1000	38000	10000	38999	10999	639	1582000.0	6084000.0
01-north-cape-subset88-11x08.tif	1000	1000	39000	10000	39999	10999	639	1597000.0	6084000.0
01-north-cape-subset89-12x01.tif	1000	1000	32000	11000	32999	11999	639	1492000.0	6069000.0
01-north-cape-subset90-12x02.tif	1000	1000	33000	11000	33999	11999	639	1507000.0	6069000.0
01-north-cape-subset91-12x03.tif	1000	1000	34000	11000	34999	11999	639	1522000.0	6069000.0
01-north-cape-subset92-12x04.tif	1000	1000	35000	11000	35999	11999	639	1537000.0	6069000.0
01-north-cape-subset93-12x05.tif	1000	1000	36000	11000	36999	11999	639	1552000.0	6069000.0
01-north-cape-subset94-12x06.tif	1000	1000	37000	11000	37999	11999	639	1567000.0	6069000.0
01-north-cape-subset95-12x07.tif	1000	1000	38000	11000	38999	11999	639	1582000.0	6069000.0
01-north-cape-subset96-12x08.tif	1000	1000	39000	11000	39999	11999	639	1597000.0	6069000.0
