lat,lng,elev
-36.875110,174.764120,150.2
-36.875170,174.764115,150.3
-36.875220,174.764110,149.8
-36.875270,174.764100,149.1
-36.875306,174.764109,149.0
-36.875310,174.764110,149.0
-36.875360,174.764120,148.8
-36.875430,174.764150,149.0
-36.875440,174.764157,149.1
-36.875574,174.764248,151.6
-36.875708,174.764339,154.6
-36.875710,174.764340,154.7
-36.875750,174.764360,156.0
-36.875790,174.764380,157.3
-36.875830,174.764390,158.3
-36.875842,174.764390,158.6
-36.875870,174.764390,159.4
-36.875910,174.764390,160.5
-36.875950,174.764370,161.2
-36.875978,174.764351,161.6
-36.875980,174.764350,161.6
-36.876040,174.764320,162.7
-36.876110,174.764270,163.6
-36.876115,174.764265,163.6
-36.876128,174.764252,166.3
-36.876180,174.764200,163.3
-36.876250,174.764160,163.9
-36.876251,174.764160,163.9
-36.876387,174.764111,164.2
-36.876390,174.764110,164.2
-36.876450,174.764091,163.6
-36.876523,174.764068,163.3
-36.876580,174.764050,162.6
-36.876620,174.764040,162.1
-36.876659,174.764014,161.7
-36.876680,174.764000,161.5
-36.876730,174.763950,161.1
-36.876745,174.763930,160.8
-36.876760,174.763910,161.1
-36.876790,174.763860,161.6
-36.876797,174.763843,161.8
-36.876810,174.763810,162.3
-36.876830,174.763763,164.0
-36.876840,174.763740,163.6
-36.876850,174.763680,164.9
-36.876860,174.763630,166.1
-36.876865,174.763596,168.9
-36.876889,174.763428,173.1
-36.876900,174.763350,172.4
-36.876910,174.763290,173.5
-36.876922,174.763261,175.5
-36.876930,174.763240,174.7
-36.876941,174.763228,175.1
-36.877040,174.763120,177.2
-36.877076,174.763238,179.3
-36.877080,174.763250,179.4
-36.877080,174.763260,179.5
-36.877082,174.763264,181.5
-36.877090,174.763280,179.5
-36.877107,174.763309,179.5
-36.877120,174.763330,179.5
-36.877160,174.763370,179.8
-36.877200,174.763390,180.4
-36.877209,174.763393,180.5
-36.877344,174.763430,181.7
-36.877377,174.763439,182.5
-36.877478,174.763468,182.3
-36.877613,174.763505,182.6
-36.877630,174.763510,182.5
-36.877680,174.763530,182.5
-36.877720,174.763550,182.6
-36.877747,174.763572,182.7
-36.877769,174.763589,182.7
-36.877770,174.763590,182.7
-36.877789,174.763601,182.7
-36.877816,174.763618,182.5
-36.877820,174.763620,182.7
-36.877860,174.763670,182.9
-36.877881,174.763696,183.0
-36.877900,174.763720,183.1
-36.877939,174.763789,183.2
-36.877940,174.763790,183.5
-36.877990,174.763880,184.2
-36.878012,174.763939,184.9
-36.878020,174.763959,184.1
-36.878020,174.763960,185.1
-36.878040,174.764040,185.9
-36.878060,174.764128,186.6
-36.878060,174.764130,186.9
-36.878070,174.764220,188.1
-36.878070,174.764297,189.2
-36.878070,174.764310,189.3
-36.878006,174.764382,189.7
-36.877990,174.764400,189.5
-36.877990,174.764463,190.2
-36.877990,174.764590,188.4
-36.877990,174.764631,188.0
-36.877990,174.764680,187.1
-36.877990,174.764631,186.4
-36.877990,174.764590,188.4
-36.877990,174.764463,187.2
-36.877990,174.764400,189.5
-36.878006,174.764382,189.7
-36.878070,174.764310,189.3
-36.878070,174.764297,189.1
-36.878070,174.764220,188.1
-36.878060,174.764130,186.9
-36.878060,174.764128,187.1
-36.878040,174.764040,185.9
-36.878020,174.763960,185.1
-36.878020,174.763959,185.2
-36.878012,174.763939,184.9
-36.877990,174.763880,184.2
-36.877940,174.763790,183.5
-36.877939,174.763789,183.7
-36.877900,174.763720,183.1
-36.877881,174.763696,183.0
-36.877860,174.763670,182.9
-36.877820,174.763620,182.7
-36.877816,174.763618,182.9
-36.877770,174.763590,182.7
-36.877769,174.763589,182.7
-36.877747,174.763572,182.7
-36.877720,174.763550,182.6
-36.877680,174.763530,182.5
-36.877665,174.763524,182.5
-36.877630,174.763510,182.5
-36.877613,174.763505,182.6
-36.877478,174.763468,182.3
-36.877377,174.763439,181.7
-36.877344,174.763430,181.7
-36.877209,174.763393,180.5
-36.877200,174.763390,180.4
-36.877160,174.763370,179.8
-36.877120,174.763330,179.5
-36.877107,174.763309,179.5
-36.877090,174.763280,179.5
-36.877085,174.763264,179.5
-36.877080,174.763250,179.4
-36.877076,174.763238,179.3
-36.877040,174.763120,177.2
-36.877062,174.763095,178.3
-36.877079,174.763077,177.8
-36.877130,174.763020,177.2
-36.877193,174.762966,177.0
-36.877200,174.762960,177.1
-36.877250,174.762940,177.1
-36.877261,174.762932,177.4
-36.877290,174.762910,176.0
-36.877350,174.762900,175.8
-36.877352,174.762900,175.8
-36.877400,174.762890,174.9
-36.877450,174.762880,174.0
-36.877487,174.762880,173.6
-36.877500,174.762880,173.4
-36.877570,174.762890,172.4
-36.877620,174.762900,171.8
-36.877622,174.762901,171.8
-36.877680,174.762920,171.2
-36.877730,174.762940,170.8
-36.877734,174.762943,170.3
-36.877756,174.762956,170.8
-36.877780,174.762970,170.5
-36.877830,174.763000,170.0
-36.877870,174.763020,169.4
-36.877890,174.763038,169.4
-36.877977,174.763116,167.2
-36.878024,174.763158,168.6
-36.878157,174.763279,167.2
-36.878169,174.763289,161.6
-36.878291,174.763399,165.4
-36.878361,174.763462,161.5
-36.878424,174.763519,163.4
-36.878470,174.763560,162.6
-36.878530,174.763630,161.9
-36.878533,174.763634,160.6
-36.878557,174.763663,161.4
-36.878580,174.763690,161.0
-36.878600,174.763720,160.7
-36.878630,174.763760,160.2
-36.878653,174.763805,158.0
-36.878670,174.763840,159.6
-36.878689,174.763869,158.9
-36.878730,174.763930,157.3
-36.878743,174.763976,152.5
-36.878750,174.764000,156.7
-36.878780,174.764080,155.2
-36.878789,174.764145,152.9
-36.878790,174.764150,154.7
-36.878800,174.764200,153.8
-36.878800,174.764310,153.2
-36.878800,174.764313,152.0
-36.878800,174.764380,152.4
-36.878790,174.764440,152.4
-36.878780,174.764481,159.5
-36.878760,174.764560,152.8
-36.878733,174.764649,157.5
-36.878682,174.764816,154.5
-36.878675,174.764838,154.0
-36.878630,174.764983,159.6
-36.878579,174.765150,155.5
-36.878570,174.765180,152.2
-36.878540,174.765300,150.3
-36.878534,174.765317,150.2
-36.878533,174.765322,150.0
-36.878510,174.765390,149.0
-36.878470,174.765480,148.1
-36.878467,174.765484,152.4
-36.878430,174.765540,148.2
